seed,outcome,success,episode_length,detected,detection_time,intercept_time,enemy_speed,defender_speed,detection_radius,intercept_radius,threat_radius,min_enemy_soldier_dist,min_defender_enemy_dist,num_episodes,model_version,mean_tracking_error,final_tracking_error
534,unsafe_intercept,0,30,1,11,-1,12.0,18.0,15.0,2.5,2.0,2.2528803,1.1647882,1000,unknown,2.4279523864388466,2.234919548034668
535,intercepted,1,14,1,11,14,12.0,18.0,15.0,2.5,2.0,10.151396,0.7530311,1000,unknown,0.790397047996521,1.763673186302185
536,unsafe_intercept,0,18,1,12,-1,12.0,18.0,15.0,2.5,2.0,3.2068624,2.062877,1000,unknown,2.4007227080208913,4.6853485107421875
537,intercepted,1,17,1,15,17,12.0,18.0,15.0,2.5,2.0,12.626271,1.7986672,1000,unknown,0.5413100123405457,0.38105252385139465
538,intercepted,1,14,1,12,14,12.0,18.0,15.0,2.5,2.0,8.996667,1.7985781,1000,unknown,1.305250644683838,1.445055603981018
539,intercepted,1,13,1,11,13,12.0,18.0,15.0,2.5,2.0,16.6593,1.9560353,1000,unknown,0.9344439705212911,1.0140445232391357
540,soldier_caught,0,11,1,7,-1,12.0,18.0,15.0,2.5,2.0,1.5394934,3.805956,1000,unknown,0.7660262525081635,0.29174938797950745
541,intercepted,1,9,1,8,9,12.0,18.0,15.0,2.5,2.0,3.9016652,1.6033787,1000,unknown,0.3774772137403488,0.5156821012496948
542,intercepted,1,15,1,14,15,12.0,18.0,15.0,2.5,2.0,5.621886,1.5511901,1000,unknown,0.8268441259860992,0.5630249381065369
543,soldier_caught,0,12,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.8102754,4.9357133,1000,unknown,1.204920306801796,3.2226390838623047
544,soldier_caught,0,15,1,13,-1,12.0,18.0,15.0,2.5,2.0,1.8284441,5.4938807,1000,unknown,1.4326387246449788,1.5255826711654663
545,unsafe_intercept,0,16,1,10,-1,12.0,18.0,15.0,2.5,2.0,2.3561566,1.8759636,1000,unknown,2.262378603219986,4.504753112792969
546,intercepted,1,11,1,9,11,12.0,18.0,15.0,2.5,2.0,10.78929,1.3738065,1000,unknown,0.7513924638430277,1.0937066078186035
547,soldier_caught,0,41,1,7,-1,12.0,18.0,15.0,2.5,2.0,0.8350931,2.7852829,1000,unknown,2.7583835686956135,1.7476698160171509
548,intercepted,1,12,1,10,12,12.0,18.0,15.0,2.5,2.0,4.8561397,2.0145736,1000,unknown,0.6618039409319559,0.5450547933578491
549,intercepted,1,12,1,8,12,12.0,18.0,15.0,2.5,2.0,4.0070615,2.227312,1000,unknown,1.543782603740692,3.692448377609253
550,soldier_caught,0,18,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.3300726,2.0277796,1000,unknown,2.0186216277735576,5.177520751953125
551,intercepted,1,14,1,10,14,12.0,18.0,15.0,2.5,2.0,5.3389916,1.6752951,1000,unknown,1.0012914180755614,1.0504200458526611
552,soldier_caught,0,13,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.1821194,4.676838,1000,unknown,1.5089515805244447,1.668511986732483
553,intercepted,1,26,1,10,26,12.0,18.0,15.0,2.5,2.0,2.9390442,2.0093946,1000,unknown,2.9667990987791732,2.990893840789795
554,soldier_caught,0,11,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.120281,0.28683543,1000,unknown,1.0098405281702678,0.3373842239379883
555,unsafe_intercept,0,21,1,12,-1,12.0,18.0,15.0,2.5,2.0,2.7299547,2.215434,1000,unknown,2.1297978103160857,2.212904453277588
556,intercepted,1,23,1,9,23,12.0,18.0,15.0,2.5,2.0,2.060345,2.3152962,1000,unknown,2.7648120244344074,3.5205650329589844
557,intercepted,1,32,1,8,32,12.0,18.0,15.0,2.5,2.0,2.264294,1.8431014,1000,unknown,2.509218649864197,3.3635153770446777
558,soldier_caught,0,20,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.7585479,2.8301983,1000,unknown,2.5268928200006484,2.742424964904785
559,intercepted,1,14,1,11,14,12.0,18.0,15.0,2.5,2.0,5.260413,2.4299212,1000,unknown,0.9169107899069786,1.1439111232757568
560,intercepted,1,18,1,17,18,12.0,18.0,15.0,2.5,2.0,6.4596586,2.2155914,1000,unknown,0.9215879440307617,1.1238807439804077
561,intercepted,1,13,1,10,13,12.0,18.0,15.0,2.5,2.0,5.714511,1.3197101,1000,unknown,0.5976584944874048,0.8595101833343506
562,intercepted,1,13,1,11,13,12.0,18.0,15.0,2.5,2.0,5.236823,1.1881496,1000,unknown,0.9951944450537363,1.889112949371338
563,intercepted,1,13,1,10,13,12.0,18.0,15.0,2.5,2.0,6.942941,2.2330635,1000,unknown,1.1900130659341812,1.1635152101516724
564,intercepted,1,26,1,7,26,12.0,18.0,15.0,2.5,2.0,2.4335902,2.1522965,1000,unknown,3.0235638789832593,3.410898208618164
565,soldier_caught,0,14,1,7,-1,12.0,18.0,15.0,2.5,2.0,1.2730778,3.0926967,1000,unknown,2.2352121882140636,4.818892002105713
566,intercepted,1,11,1,9,11,12.0,18.0,15.0,2.5,2.0,5.4338803,2.413979,1000,unknown,0.7212871710459391,1.048872709274292
567,intercepted,1,11,1,10,11,12.0,18.0,15.0,2.5,2.0,6.221214,2.1459892,1000,unknown,0.6211046576499939,0.8525721430778503
568,intercepted,1,23,1,19,23,12.0,18.0,15.0,2.5,2.0,5.4205585,1.5967454,1000,unknown,1.2794132113456727,2.3338005542755127
569,soldier_caught,0,22,1,20,-1,12.0,18.0,15.0,2.5,2.0,1.638322,2.8576798,1000,unknown,0.8267239034175873,1.39832603931427
570,soldier_caught,0,17,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.5902234,4.5339937,1000,unknown,1.1545717418193817,1.8466593027114868
571,intercepted,1,8,1,6,8,12.0,18.0,15.0,2.5,2.0,7.178949,1.3263533,1000,unknown,0.6122636397679647,0.24520432949066162
572,intercepted,1,16,1,8,16,12.0,18.0,15.0,2.5,2.0,2.7403297,1.3189777,1000,unknown,1.9794194002946217,2.0293519496917725
573,soldier_caught,0,24,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.4351737,3.9450102,1000,unknown,2.980110927738927,2.3674137592315674
574,intercepted,1,15,1,12,15,12.0,18.0,15.0,2.5,2.0,4.4123096,1.4728805,1000,unknown,0.8584647327661514,0.5993481278419495
575,soldier_caught,0,16,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.8993692,3.0334702,1000,unknown,1.7065839873005946,3.510162353515625
576,soldier_caught,0,23,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.835645,3.1871624,1000,unknown,2.642141819000244,3.65568208694458
577,intercepted,1,22,1,16,22,12.0,18.0,15.0,2.5,2.0,10.8154545,1.1790173,1000,unknown,1.8575589231082372,3.9415225982666016
578,intercepted,1,14,1,12,14,12.0,18.0,15.0,2.5,2.0,3.980492,1.9365902,1000,unknown,1.0378811955451965,0.9270039200782776
579,intercepted,1,17,1,11,17,12.0,18.0,15.0,2.5,2.0,4.1183085,1.4779998,1000,unknown,1.8275978352342332,4.76466178894043
580,intercepted,1,16,1,11,16,12.0,18.0,15.0,2.5,2.0,3.8875196,1.9417387,1000,unknown,1.0675690472126007,0.9441864490509033
581,soldier_caught,0,14,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.9501517,3.9432805,1000,unknown,1.1148831099271774,1.7747530937194824
582,unsafe_intercept,0,12,1,9,-1,12.0,18.0,15.0,2.5,2.0,3.2499318,2.1182325,1000,unknown,1.29015651345253,1.9868550300598145
583,intercepted,1,21,1,9,21,12.0,18.0,15.0,2.5,2.0,2.67856,0.9441029,1000,unknown,2.4080322155585656,2.5383849143981934
584,intercepted,1,12,1,9,12,12.0,18.0,15.0,2.5,2.0,7.585106,1.8473881,1000,unknown,1.320862665772438,2.328626871109009
585,soldier_caught,0,15,1,13,-1,12.0,18.0,15.0,2.5,2.0,1.6850803,5.607963,1000,unknown,1.01202525695165,1.8789814710617065
586,intercepted,1,13,1,12,13,12.0,18.0,15.0,2.5,2.0,6.0431767,2.0724423,1000,unknown,0.8780690729618073,0.7881765961647034
587,soldier_caught,0,21,1,12,-1,12.0,18.0,15.0,2.5,2.0,0.11478898,2.534338,1000,unknown,3.3556753784418105,3.7464327812194824
588,intercepted,1,34,1,14,34,12.0,18.0,15.0,2.5,2.0,2.3097556,0.6387248,1000,unknown,2.512888809045156,4.462672233581543
589,soldier_caught,0,25,1,10,-1,12.0,18.0,15.0,2.5,2.0,0.18314815,0.41702667,1000,unknown,2.9852552451193333,3.228663682937622
590,unsafe_intercept,0,26,1,7,-1,12.0,18.0,15.0,2.5,2.0,2.3684487,2.4253273,1000,unknown,2.5735742449760437,3.0870277881622314
591,unsafe_intercept,0,23,1,13,-1,12.0,18.0,15.0,2.5,2.0,2.597365,1.467694,1000,unknown,2.566757792776281,2.3964626789093018
592,intercepted,1,16,1,11,16,12.0,18.0,15.0,2.5,2.0,4.599371,1.6639419,1000,unknown,2.0500865081946054,4.9314985275268555
593,unsafe_intercept,0,24,1,16,-1,12.0,18.0,15.0,2.5,2.0,2.2550507,2.3608887,1000,unknown,2.0611861513720617,2.2395167350769043
594,intercepted,1,11,1,8,11,12.0,18.0,15.0,2.5,2.0,5.1046305,2.3090253,1000,unknown,0.9882006421685219,1.7189784049987793
