seed,outcome,success,episode_length,detected,detection_time,intercept_time,enemy_speed,defender_speed,detection_radius,intercept_radius,threat_radius,min_enemy_soldier_dist,min_defender_enemy_dist,num_episodes
412,intercepted,1,7,1,6,7,12.0,18.0,15.0,2.5,2.0,9.559041,1.6593672,1000
413,intercepted,1,11,1,9,11,12.0,18.0,15.0,2.5,2.0,10.987551,1.4698015,1000
414,soldier_caught,0,10,1,7,-1,12.0,18.0,15.0,2.5,2.0,1.865451,5.845624,1000
415,intercepted,1,14,1,13,14,12.0,18.0,15.0,2.5,2.0,5.3906126,0.29567668,1000
416,intercepted,1,13,1,7,13,12.0,18.0,15.0,2.5,2.0,3.1064024,1.3712927,1000
417,soldier_caught,0,9,1,6,-1,12.0,18.0,15.0,2.5,2.0,0.7970262,2.0874374,1000
418,soldier_caught,0,16,1,15,-1,12.0,18.0,15.0,2.5,2.0,1.913899,6.3608427,1000
419,intercepted,1,10,1,8,10,12.0,18.0,15.0,2.5,2.0,7.89925,1.0005416,1000
420,intercepted,1,17,1,15,17,12.0,18.0,15.0,2.5,2.0,12.900449,2.0916748,1000
421,unsafe_intercept,0,24,1,11,-1,12.0,18.0,15.0,2.5,2.0,2.8603737,2.195399,1000
422,intercepted,1,12,1,11,12,12.0,18.0,15.0,2.5,2.0,10.306609,0.5170472,1000
423,soldier_caught,0,12,1,9,-1,12.0,18.0,15.0,2.5,2.0,0.0106183775,2.4964983,1000
424,intercepted,1,18,1,9,18,12.0,18.0,15.0,2.5,2.0,5.1195216,1.0907571,1000
425,soldier_caught,0,11,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.9234148,5.6297917,1000
426,soldier_caught,0,37,1,19,-1,12.0,18.0,15.0,2.5,2.0,1.8622179,2.71932,1000
427,intercepted,1,14,1,12,14,12.0,18.0,15.0,2.5,2.0,16.002943,1.8071676,1000
428,soldier_caught,0,12,1,9,-1,12.0,18.0,15.0,2.5,2.0,0.77788645,5.535608,1000
429,soldier_caught,0,19,1,10,-1,12.0,18.0,15.0,2.5,2.0,1.0291855,4.0228667,1000
430,intercepted,1,11,1,8,11,12.0,18.0,15.0,2.5,2.0,10.229783,2.1407497,1000
431,intercepted,1,13,1,9,13,12.0,18.0,15.0,2.5,2.0,4.1295366,1.3660116,1000
432,soldier_caught,0,19,1,8,-1,12.0,18.0,15.0,2.5,2.0,1.4442829,2.6461246,1000
433,intercepted,1,12,1,10,12,12.0,18.0,15.0,2.5,2.0,14.353643,1.3202163,1000
434,intercepted,1,13,1,8,13,12.0,18.0,15.0,2.5,2.0,7.061593,1.6209456,1000
435,intercepted,1,12,1,10,12,12.0,18.0,15.0,2.5,2.0,6.215073,1.1849905,1000
436,soldier_caught,0,9,1,7,-1,12.0,18.0,15.0,2.5,2.0,1.6955494,4.4084883,1000
437,intercepted,1,12,1,10,12,12.0,18.0,15.0,2.5,2.0,10.977692,1.8561698,1000
438,intercepted,1,13,1,9,13,12.0,18.0,15.0,2.5,2.0,2.98935,1.5274488,1000
439,intercepted,1,9,1,7,9,12.0,18.0,15.0,2.5,2.0,11.909506,2.2140803,1000
440,soldier_caught,0,19,1,15,-1,12.0,18.0,15.0,2.5,2.0,1.9599725,2.72257,1000
441,intercepted,1,11,1,8,11,12.0,18.0,15.0,2.5,2.0,4.938291,1.9579977,1000
442,intercepted,1,11,1,9,11,12.0,18.0,15.0,2.5,2.0,4.0229588,2.3319633,1000
443,unsafe_intercept,0,15,1,8,-1,12.0,18.0,15.0,2.5,2.0,3.0793276,0.9943752,1000
444,intercepted,1,21,1,12,21,12.0,18.0,15.0,2.5,2.0,2.357757,2.3776302,1000
445,intercepted,1,15,1,12,15,12.0,18.0,15.0,2.5,2.0,4.953832,0.7185065,1000
446,intercepted,1,10,1,6,10,12.0,18.0,15.0,2.5,2.0,8.871338,2.0753212,1000
447,unsafe_intercept,0,13,1,11,-1,12.0,18.0,15.0,2.5,2.0,3.3320866,2.1692443,1000
448,soldier_caught,0,21,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.559299,2.649689,1000
449,soldier_caught,0,13,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.1971135,4.599431,1000
450,intercepted,1,16,1,12,16,12.0,18.0,15.0,2.5,2.0,5.5538044,1.1718236,1000
451,soldier_caught,0,18,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.807108,2.7528703,1000
452,intercepted,1,19,1,11,19,12.0,18.0,15.0,2.5,2.0,3.2722864,1.155164,1000
453,intercepted,1,22,1,9,22,12.0,18.0,15.0,2.5,2.0,3.1162732,1.7592475,1000
454,soldier_caught,0,10,1,7,-1,12.0,18.0,15.0,2.5,2.0,1.891256,2.883411,1000
455,intercepted,1,20,1,13,20,12.0,18.0,15.0,2.5,2.0,3.699623,1.8202882,1000
456,intercepted,1,24,1,9,24,12.0,18.0,15.0,2.5,2.0,2.3742158,2.203785,1000
457,intercepted,1,15,1,13,15,12.0,18.0,15.0,2.5,2.0,6.375879,1.8874943,1000
458,intercepted,1,23,1,11,23,12.0,18.0,15.0,2.5,2.0,4.361742,1.862425,1000
459,soldier_caught,0,22,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.6471612,4.817746,1000
460,intercepted,1,24,1,13,24,12.0,18.0,15.0,2.5,2.0,2.8778663,2.3847141,1000
461,soldier_caught,0,10,1,7,-1,12.0,18.0,15.0,2.5,2.0,0.61966354,2.6084108,1000
462,intercepted,1,11,1,7,11,12.0,18.0,15.0,2.5,2.0,5.3256288,1.9782087,1000
463,intercepted,1,12,1,10,12,12.0,18.0,15.0,2.5,2.0,3.379674,1.5987657,1000
464,intercepted,1,11,1,8,11,12.0,18.0,15.0,2.5,2.0,3.82668,2.2499871,1000
465,unsafe_intercept,0,11,1,10,-1,12.0,18.0,15.0,2.5,2.0,3.2930973,2.2874668,1000
466,intercepted,1,16,1,11,16,12.0,18.0,15.0,2.5,2.0,5.235384,1.4319133,1000
467,intercepted,1,9,1,8,9,12.0,18.0,15.0,2.5,2.0,9.372265,0.85483176,1000
468,intercepted,1,15,1,11,15,12.0,18.0,15.0,2.5,2.0,10.583787,1.7110571,1000
469,soldier_caught,0,16,1,13,-1,12.0,18.0,15.0,2.5,2.0,1.6733665,2.0129766,1000
470,soldier_caught,0,12,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.0762264,4.6231313,1000
471,intercepted,1,24,1,18,24,12.0,18.0,15.0,2.5,2.0,7.2988586,1.3264107,1000
472,intercepted,1,9,1,7,9,12.0,18.0,15.0,2.5,2.0,7.7707057,0.69876766,1000
473,soldier_caught,0,16,1,7,-1,12.0,18.0,15.0,2.5,2.0,0.4948576,2.8855703,1000
474,intercepted,1,10,1,9,10,12.0,18.0,15.0,2.5,2.0,6.9821,2.4414475,1000
475,intercepted,1,13,1,7,13,12.0,18.0,15.0,2.5,2.0,2.3036866,1.3900902,1000
476,intercepted,1,11,1,9,11,12.0,18.0,15.0,2.5,2.0,6.6413207,1.6355656,1000
477,intercepted,1,17,1,15,17,12.0,18.0,15.0,2.5,2.0,11.590102,1.2200764,1000
478,soldier_caught,0,16,1,8,-1,12.0,18.0,15.0,2.5,2.0,0.45691514,2.569804,1000
479,unsafe_intercept,0,23,1,7,-1,12.0,18.0,15.0,2.5,2.0,2.4452069,2.3169167,1000
480,intercepted,1,23,1,22,23,12.0,18.0,15.0,2.5,2.0,6.7576456,2.1792343,1000
481,soldier_caught,0,22,1,11,-1,12.0,18.0,15.0,2.5,2.0,1.916711,2.9028845,1000
482,soldier_caught,0,20,1,13,-1,12.0,18.0,15.0,2.5,2.0,1.8536319,2.2713063,1000
483,intercepted,1,10,1,8,10,12.0,18.0,15.0,2.5,2.0,7.23538,1.1228088,1000
484,soldier_caught,0,13,1,11,-1,12.0,18.0,15.0,2.5,2.0,0.27257717,5.151231,1000
485,intercepted,1,14,1,11,14,12.0,18.0,15.0,2.5,2.0,5.684137,2.342987,1000
486,intercepted,1,35,1,13,35,12.0,18.0,15.0,2.5,2.0,2.3373692,2.3364089,1000
487,unsafe_intercept,0,10,1,9,-1,12.0,18.0,15.0,2.5,2.0,2.984166,2.3510194,1000
488,soldier_caught,0,19,1,13,-1,12.0,18.0,15.0,2.5,2.0,1.9133136,1.994664,1000
489,intercepted,1,20,1,19,20,12.0,18.0,15.0,2.5,2.0,4.179506,1.2732292,1000
490,intercepted,1,11,1,8,11,12.0,18.0,15.0,2.5,2.0,10.787234,2.4947627,1000
491,intercepted,1,18,1,15,18,12.0,18.0,15.0,2.5,2.0,6.8852906,0.7383117,1000
492,unsafe_intercept,0,38,1,13,-1,12.0,18.0,15.0,2.5,2.0,2.0227046,2.4329803,1000
493,intercepted,1,14,1,11,14,12.0,18.0,15.0,2.5,2.0,3.5639741,1.9669579,1000
494,soldier_caught,0,25,1,13,-1,12.0,18.0,15.0,2.5,2.0,1.974679,3.4598308,1000
495,intercepted,1,13,1,10,13,12.0,18.0,15.0,2.5,2.0,9.1861925,0.92217785,1000
496,intercepted,1,21,1,10,21,12.0,18.0,15.0,2.5,2.0,2.158699,1.1306981,1000
497,intercepted,1,21,1,8,21,12.0,18.0,15.0,2.5,2.0,2.3773975,2.318156,1000
498,intercepted,1,27,1,18,27,12.0,18.0,15.0,2.5,2.0,4.217426,1.8181707,1000
499,soldier_caught,0,11,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.7018877,2.9828758,1000
500,intercepted,1,12,1,10,12,12.0,18.0,15.0,2.5,2.0,9.608907,2.2450294,1000
501,unsafe_intercept,0,12,1,9,-1,12.0,18.0,15.0,2.5,2.0,2.0086756,0.28031567,1000
502,soldier_caught,0,10,1,6,-1,12.0,18.0,15.0,2.5,2.0,0.34859237,1.139359,1000
503,intercepted,1,14,1,11,14,12.0,18.0,15.0,2.5,2.0,6.5241656,0.9090509,1000
504,intercepted,1,18,1,13,18,12.0,18.0,15.0,2.5,2.0,2.238016,2.115441,1000
505,unsafe_intercept,0,21,1,7,-1,12.0,18.0,15.0,2.5,2.0,2.3260212,1.9159597,1000
506,intercepted,1,10,1,8,10,12.0,18.0,15.0,2.5,2.0,17.203382,1.9693267,1000
507,intercepted,1,14,1,12,14,12.0,18.0,15.0,2.5,2.0,9.989533,2.2584543,1000
508,intercepted,1,18,1,11,18,12.0,18.0,15.0,2.5,2.0,3.7920234,2.1744597,1000
509,intercepted,1,12,1,10,12,12.0,18.0,15.0,2.5,2.0,14.820936,0.46212506,1000
510,unsafe_intercept,0,9,1,7,-1,12.0,18.0,15.0,2.5,2.0,2.4547331,2.0744817,1000
511,unsafe_intercept,0,14,1,11,-1,12.0,18.0,15.0,2.5,2.0,3.165712,2.061937,1000
512,intercepted,1,16,1,14,16,12.0,18.0,15.0,2.5,2.0,7.2439876,2.0661266,1000
513,intercepted,1,13,1,11,13,12.0,18.0,15.0,2.5,2.0,6.050317,0.9207004,1000
514,intercepted,1,14,1,12,14,12.0,18.0,15.0,2.5,2.0,3.8716516,1.8446611,1000
515,intercepted,1,32,1,15,32,12.0,18.0,15.0,2.5,2.0,3.2926183,1.9738432,1000
516,intercepted,1,10,1,8,10,12.0,18.0,15.0,2.5,2.0,10.716281,0.5859123,1000
517,intercepted,1,28,1,9,28,12.0,18.0,15.0,2.5,2.0,2.0010366,2.0259807,1000
518,unsafe_intercept,0,17,1,15,-1,12.0,18.0,15.0,2.5,2.0,2.3243444,1.6206425,1000
519,intercepted,1,16,1,14,16,12.0,18.0,15.0,2.5,2.0,7.1789703,1.906631,1000
520,intercepted,1,16,1,9,16,12.0,18.0,15.0,2.5,2.0,2.0703428,1.0062268,1000
521,intercepted,1,13,1,11,13,12.0,18.0,15.0,2.5,2.0,6.4599447,1.3751376,1000
522,intercepted,1,12,1,11,12,12.0,18.0,15.0,2.5,2.0,8.954589,2.4503891,1000
523,soldier_caught,0,30,1,11,-1,12.0,18.0,15.0,2.5,2.0,0.51901144,3.554884,1000
524,intercepted,1,8,1,6,8,12.0,18.0,15.0,2.5,2.0,12.051704,1.0797704,1000
525,soldier_caught,0,19,1,14,-1,12.0,18.0,15.0,2.5,2.0,1.2782063,3.618107,1000
526,intercepted,1,18,1,15,18,12.0,18.0,15.0,2.5,2.0,4.748304,0.7057846,1000
527,intercepted,1,9,1,6,9,12.0,18.0,15.0,2.5,2.0,6.0185647,1.3301469,1000
528,intercepted,1,10,1,9,10,12.0,18.0,15.0,2.5,2.0,9.739942,2.3608022,1000
529,intercepted,1,12,1,10,12,12.0,18.0,15.0,2.5,2.0,12.232666,1.7638979,1000
530,soldier_caught,0,17,1,15,-1,12.0,18.0,15.0,2.5,2.0,1.8237252,4.4702077,1000
531,intercepted,1,12,1,10,12,12.0,18.0,15.0,2.5,2.0,10.949206,1.6118511,1000
532,intercepted,1,14,1,13,14,12.0,18.0,15.0,2.5,2.0,6.3031735,1.9737775,1000
533,intercepted,1,22,1,9,22,12.0,18.0,15.0,2.5,2.0,2.6972442,2.4292648,1000
534,soldier_caught,0,26,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.8919051,3.319996,1000
535,unsafe_intercept,0,20,1,12,-1,12.0,18.0,15.0,2.5,2.0,3.114391,1.8657552,1000
536,intercepted,1,14,1,13,14,12.0,18.0,15.0,2.5,2.0,7.2455325,0.4761534,1000
537,intercepted,1,18,1,16,18,12.0,18.0,15.0,2.5,2.0,10.724623,2.2036424,1000
538,intercepted,1,13,1,11,13,12.0,18.0,15.0,2.5,2.0,8.802582,2.29531,1000
539,soldier_caught,0,19,1,12,-1,12.0,18.0,15.0,2.5,2.0,1.5718275,4.080236,1000
540,intercepted,1,10,1,9,10,12.0,18.0,15.0,2.5,2.0,9.606416,2.0081403,1000
541,soldier_caught,0,12,1,9,-1,12.0,18.0,15.0,2.5,2.0,1.8498838,2.9421017,1000
